insert into car (id, make, model, price) values (1, 'Hyundai', 'Tucson', '39593.49');
insert into car (id, make, model, price) values (2, 'BMW', 'Alpina B7', '99174.50');
insert into car (id, make, model, price) values (3, 'Pontiac', 'Grand Am', '44978.68');
insert into car (id, make, model, price) values (4, 'Mitsubishi', 'Chariot', '65472.36');
insert into car (id, make, model, price) values (5, 'Scion', 'tC', '17053.01');
insert into car (id, make, model, price) values (6, 'MINI', 'Cooper', '82835.15');
insert into car (id, make, model, price) values (7, 'Mazda', 'MX-5', '30389.66');
insert into car (id, make, model, price) values (8, 'Pontiac', 'Aztek', '32174.78');
insert into car (id, make, model, price) values (9, 'Subaru', 'Impreza', '57016.03');
insert into car (id, make, model, price) values (10, 'BMW', '745', '68828.95');
insert into car (id, make, model, price) values (11, 'Volvo', 'S40', '18109.46');
insert into car (id, make, model, price) values (12, 'Volkswagen', 'Fox', '74858.14');
insert into car (id, make, model, price) values (13, 'Mazda', 'Miata MX-5', '69858.31');
insert into car (id, make, model, price) values (14, 'Lexus', 'GS', '27036.88');
insert into car (id, make, model, price) values (15, 'Mazda', 'MX-5', '65666.50');
insert into car (id, make, model, price) values (16, 'Pontiac', 'Grand Prix', '81510.13');
insert into car (id, make, model, price) values (17, 'Ford', 'Econoline E350', '25370.88');
insert into car (id, make, model, price) values (18, 'Ford', 'EXP', '14131.18');
insert into car (id, make, model, price) values (19, 'Audi', 'Allroad', '51602.86');
insert into car (id, make, model, price) values (20, 'Suzuki', 'SJ', '50022.47');
insert into car (id, make, model, price) values (21, 'Mercury', 'Grand Marquis', '25371.03');
insert into car (id, make, model, price) values (22, 'Ford', 'F-Series', '17413.18');
insert into car (id, make, model, price) values (23, 'Chevrolet', 'Tracker', '28091.71');
insert into car (id, make, model, price) values (24, 'Chrysler', 'Sebring', '15194.68');
insert into car (id, make, model, price) values (25, 'Infiniti', 'M', '31211.77');
insert into car (id, make, model, price) values (26, 'Mazda', 'MX-5', '50225.90');
insert into car (id, make, model, price) values (27, 'Ford', 'LTD Crown Victoria', '48757.46');
insert into car (id, make, model, price) values (28, 'Ford', 'Escort', '25594.97');
insert into car (id, make, model, price) values (29, 'Chevrolet', 'Impala', '71793.29');
insert into car (id, make, model, price) values (30, 'Mitsubishi', 'Mighty Max', '45544.49');
insert into car (id, make, model, price) values (31, 'Toyota', 'Tacoma', '98868.08');
insert into car (id, make, model, price) values (32, 'Lamborghini', 'Gallardo', '64858.88');
insert into car (id, make, model, price) values (33, 'Buick', 'Electra', '55567.91');
insert into car (id, make, model, price) values (34, 'Suzuki', 'Sidekick', '14325.94');
insert into car (id, make, model, price) values (35, 'Saturn', 'Sky', '20267.01');
insert into car (id, make, model, price) values (36, 'Dodge', 'Dakota', '49768.29');
insert into car (id, make, model, price) values (37, 'Chevrolet', 'Impala', '59854.82');
insert into car (id, make, model, price) values (38, 'Pontiac', 'Bonneville', '24690.22');
insert into car (id, make, model, price) values (39, 'GMC', 'Sonoma Club Coupe', '43782.97');
insert into car (id, make, model, price) values (40, 'Pontiac', 'Torrent', '80800.96');
insert into car (id, make, model, price) values (41, 'Lexus', 'GS', '60682.68');
insert into car (id, make, model, price) values (42, 'Nissan', 'JUKE', '27991.57');
insert into car (id, make, model, price) values (43, 'Pontiac', 'Firebird', '65958.85');
insert into car (id, make, model, price) values (44, 'Honda', 'CR-V', '36918.54');
insert into car (id, make, model, price) values (45, 'Toyota', 'Camry', '37143.06');
insert into car (id, make, model, price) values (46, 'Dodge', 'Neon', '56488.08');
insert into car (id, make, model, price) values (47, 'GMC', 'Savana 2500', '63001.56');
insert into car (id, make, model, price) values (48, 'BMW', 'Z4 M', '49830.37');
insert into car (id, make, model, price) values (49, 'Toyota', 'FJ Cruiser', '82406.31');
insert into car (id, make, model, price) values (50, 'Mercedes-Benz', 'M-Class', '40067.13');
insert into car (id, make, model, price) values (51, 'Ford', 'Excursion', '31118.74');
insert into car (id, make, model, price) values (52, 'Chevrolet', 'Camaro', '80609.64');
insert into car (id, make, model, price) values (53, 'Ford', 'Excursion', '29432.69');
insert into car (id, make, model, price) values (54, 'Subaru', 'Legacy', '33443.08');
insert into car (id, make, model, price) values (55, 'Mazda', '323', '96598.57');
insert into car (id, make, model, price) values (56, 'Volvo', 'C70', '48371.79');
insert into car (id, make, model, price) values (57, 'Ram', 'C/V', '83724.44');
insert into car (id, make, model, price) values (58, 'Rolls-Royce', 'Phantom', '50618.69');
insert into car (id, make, model, price) values (59, 'Hummer', 'H2', '99723.33');
insert into car (id, make, model, price) values (60, 'Scion', 'tC', '79977.01');
insert into car (id, make, model, price) values (61, 'Pontiac', 'Firebird', '90146.07');
insert into car (id, make, model, price) values (62, 'Buick', 'Park Avenue', '91537.55');
insert into car (id, make, model, price) values (63, 'GMC', 'Sonoma', '74045.40');
insert into car (id, make, model, price) values (64, 'Porsche', '911', '85604.67');
insert into car (id, make, model, price) values (65, 'Toyota', 'Tacoma Xtra', '28249.24');
insert into car (id, make, model, price) values (66, 'Lincoln', 'Aviator', '62654.77');
insert into car (id, make, model, price) values (67, 'BMW', 'X3', '53730.40');
insert into car (id, make, model, price) values (68, 'Dodge', 'Ram 3500', '56852.25');
insert into car (id, make, model, price) values (69, 'Volvo', 'C70', '56707.02');
insert into car (id, make, model, price) values (70, 'Lincoln', 'Continental', '74274.71');
insert into car (id, make, model, price) values (71, 'Mitsubishi', 'Pajero', '23722.83');
insert into car (id, make, model, price) values (72, 'Lincoln', 'LS', '89198.31');
insert into car (id, make, model, price) values (73, 'Jeep', 'Patriot', '85313.73');
insert into car (id, make, model, price) values (74, 'GMC', 'Sierra 3500', '69457.04');
insert into car (id, make, model, price) values (75, 'Nissan', 'Altima', '34367.10');
insert into car (id, make, model, price) values (76, 'Chrysler', '300M', '34483.91');
insert into car (id, make, model, price) values (77, 'Ford', 'Explorer', '92331.86');
insert into car (id, make, model, price) values (78, 'Audi', '90', '56746.15');
insert into car (id, make, model, price) values (79, 'GMC', 'Sierra 1500', '73908.86');
insert into car (id, make, model, price) values (80, 'Volvo', 'V50', '78414.34');
insert into car (id, make, model, price) values (81, 'Buick', 'LeSabre', '67826.40');
insert into car (id, make, model, price) values (82, 'Mazda', 'RX-7', '11464.94');
insert into car (id, make, model, price) values (83, 'Maybach', '57', '41555.33');
insert into car (id, make, model, price) values (84, 'Toyota', 'FJ Cruiser', '94190.15');
insert into car (id, make, model, price) values (85, 'Acura', 'RSX', '64476.73');
insert into car (id, make, model, price) values (86, 'Saturn', 'L-Series', '14019.14');
insert into car (id, make, model, price) values (87, 'Mitsubishi', 'Montero', '87427.48');
insert into car (id, make, model, price) values (88, 'Pontiac', 'Montana', '99131.60');
insert into car (id, make, model, price) values (89, 'Dodge', 'Charger', '24221.42');
insert into car (id, make, model, price) values (90, 'Chevrolet', 'APV', '43089.55');
insert into car (id, make, model, price) values (91, 'Kia', 'Sorento', '40683.05');
insert into car (id, make, model, price) values (92, 'Cadillac', 'Seville', '81872.61');
insert into car (id, make, model, price) values (93, 'Subaru', 'Outback', '57494.24');
insert into car (id, make, model, price) values (94, 'Ford', 'Econoline E250', '73604.97');
insert into car (id, make, model, price) values (95, 'Cadillac', 'CTS', '73317.12');
insert into car (id, make, model, price) values (96, 'Audi', 'A6', '85301.19');
insert into car (id, make, model, price) values (97, 'Ford', 'Crown Victoria', '67859.41');
insert into car (id, make, model, price) values (98, 'Cadillac', 'Fleetwood', '69011.53');
insert into car (id, make, model, price) values (99, 'Mercury', 'Mariner', '97134.76');
insert into car (id, make, model, price) values (100, 'Lincoln', 'Aviator', '11088.47');
insert into car (id, make, model, price) values (101, 'Maserati', 'GranSport', '56532.49');
insert into car (id, make, model, price) values (102, 'Ford', 'Crown Victoria', '24528.21');
insert into car (id, make, model, price) values (103, 'GMC', 'Suburban 2500', '18993.58');
insert into car (id, make, model, price) values (104, 'Alfa Romeo', '164', '64547.97');
insert into car (id, make, model, price) values (105, 'Nissan', 'GT-R', '83071.76');
insert into car (id, make, model, price) values (106, 'Dodge', 'Neon', '93638.89');
insert into car (id, make, model, price) values (107, 'Nissan', '350Z', '82745.14');
insert into car (id, make, model, price) values (108, 'Infiniti', 'Q', '45723.02');
insert into car (id, make, model, price) values (109, 'Saturn', 'Relay', '62973.85');
insert into car (id, make, model, price) values (110, 'Volkswagen', 'GTI', '30834.81');
insert into car (id, make, model, price) values (111, 'Isuzu', 'Trooper', '15348.46');
insert into car (id, make, model, price) values (112, 'Subaru', 'Legacy', '81654.60');
insert into car (id, make, model, price) values (113, 'Mazda', 'Millenia', '63014.28');
insert into car (id, make, model, price) values (114, 'Mercedes-Benz', 'SL-Class', '25628.71');
insert into car (id, make, model, price) values (115, 'Mazda', 'Mazdaspeed 3', '57909.71');
insert into car (id, make, model, price) values (116, 'Ford', 'F250', '19947.10');
insert into car (id, make, model, price) values (117, 'Isuzu', 'Trooper', '18931.62');
insert into car (id, make, model, price) values (118, 'GMC', 'Envoy', '19705.99');
insert into car (id, make, model, price) values (119, 'Hyundai', 'Genesis', '57360.74');
insert into car (id, make, model, price) values (120, 'Ford', 'Fairlane', '34527.75');
insert into car (id, make, model, price) values (121, 'Isuzu', 'Ascender', '83750.19');
insert into car (id, make, model, price) values (122, 'Lexus', 'LX', '51711.12');
insert into car (id, make, model, price) values (123, 'Oldsmobile', 'Bravada', '90042.99');
insert into car (id, make, model, price) values (124, 'Nissan', 'Rogue', '49673.15');
insert into car (id, make, model, price) values (125, 'Ford', 'Expedition', '16261.55');
insert into car (id, make, model, price) values (126, 'Lotus', 'Exige', '22984.21');
insert into car (id, make, model, price) values (127, 'Chevrolet', 'Cavalier', '45557.46');
insert into car (id, make, model, price) values (128, 'Mitsubishi', 'GTO', '82130.92');
insert into car (id, make, model, price) values (129, 'Isuzu', 'Ascender', '11042.84');
insert into car (id, make, model, price) values (130, 'Pontiac', 'Vibe', '17072.17');
insert into car (id, make, model, price) values (131, 'Mazda', 'RX-7', '41998.22');
insert into car (id, make, model, price) values (132, 'Volvo', 'XC90', '72555.47');
insert into car (id, make, model, price) values (133, 'Ford', 'Ranger', '11635.53');
insert into car (id, make, model, price) values (134, 'Toyota', 'Camry', '15991.30');
insert into car (id, make, model, price) values (135, 'Toyota', 'Corolla', '75171.62');
insert into car (id, make, model, price) values (136, 'Chevrolet', 'Astro', '86945.15');
insert into car (id, make, model, price) values (137, 'Dodge', 'Intrepid', '40404.89');
insert into car (id, make, model, price) values (138, 'Toyota', 'Camry', '63057.73');
insert into car (id, make, model, price) values (139, 'Lexus', 'GS', '90298.67');
insert into car (id, make, model, price) values (140, 'Land Rover', 'Range Rover', '27938.19');
insert into car (id, make, model, price) values (141, 'Chrysler', 'Town & Country', '47954.16');
insert into car (id, make, model, price) values (142, 'GMC', 'Rally Wagon 2500', '95574.83');
insert into car (id, make, model, price) values (143, 'Chevrolet', 'Caprice', '25645.17');
insert into car (id, make, model, price) values (144, 'Kia', 'Sportage', '16317.93');
insert into car (id, make, model, price) values (145, 'Cadillac', 'Escalade', '68881.65');
insert into car (id, make, model, price) values (146, 'Isuzu', 'Ascender', '14363.15');
insert into car (id, make, model, price) values (147, 'Audi', 'S6', '80097.48');
insert into car (id, make, model, price) values (148, 'Jeep', 'Wrangler', '58787.58');
insert into car (id, make, model, price) values (149, 'Chevrolet', 'Express 1500', '78419.31');
insert into car (id, make, model, price) values (150, 'Ford', 'E-Series', '58883.69');
insert into car (id, make, model, price) values (151, 'Ferrari', '458 Italia', '52091.38');
insert into car (id, make, model, price) values (152, 'Lexus', 'RX', '71241.51');
insert into car (id, make, model, price) values (153, 'Saturn', 'S-Series', '54684.93');
insert into car (id, make, model, price) values (154, 'Mercedes-Benz', 'CLK-Class', '43963.66');
insert into car (id, make, model, price) values (155, 'Oldsmobile', 'Alero', '92661.58');
insert into car (id, make, model, price) values (156, 'Lexus', 'GX', '23938.45');
insert into car (id, make, model, price) values (157, 'Pontiac', 'Aztek', '79659.75');
insert into car (id, make, model, price) values (158, 'Jeep', 'Grand Cherokee', '36824.64');
insert into car (id, make, model, price) values (159, 'Audi', 'Quattro', '61352.00');
insert into car (id, make, model, price) values (160, 'Acura', 'TL', '37114.02');
insert into car (id, make, model, price) values (161, 'Jaguar', 'XK Series', '14292.79');
insert into car (id, make, model, price) values (162, 'Kia', 'Sportage', '59890.51');
insert into car (id, make, model, price) values (163, 'Chrysler', '200', '11269.27');
insert into car (id, make, model, price) values (164, 'Chevrolet', 'Corvette', '90163.28');
insert into car (id, make, model, price) values (165, 'Chevrolet', 'Express', '38126.32');
insert into car (id, make, model, price) values (166, 'Suzuki', 'XL7', '94222.09');
insert into car (id, make, model, price) values (167, 'Ford', 'LTD Crown Victoria', '69206.86');
insert into car (id, make, model, price) values (168, 'Mitsubishi', 'Montero Sport', '75609.96');
insert into car (id, make, model, price) values (169, 'Mitsubishi', 'Galant', '60824.99');
insert into car (id, make, model, price) values (170, 'Suzuki', 'Equator', '33531.54');
insert into car (id, make, model, price) values (171, 'Dodge', 'Caliber', '64696.10');
insert into car (id, make, model, price) values (172, 'Dodge', 'Viper', '81977.51');
insert into car (id, make, model, price) values (173, 'Porsche', '911', '66174.81');
insert into car (id, make, model, price) values (174, 'Lincoln', 'LS', '67691.61');
insert into car (id, make, model, price) values (175, 'Kia', 'Rio', '55220.71');
insert into car (id, make, model, price) values (176, 'Ford', 'Econoline E250', '98740.29');
insert into car (id, make, model, price) values (177, 'Dodge', 'Ram 3500', '70519.46');
insert into car (id, make, model, price) values (178, 'Aston Martin', 'DB9', '50424.35');
insert into car (id, make, model, price) values (179, 'Nissan', '240SX', '73861.10');
insert into car (id, make, model, price) values (180, 'BMW', '7 Series', '88919.76');
insert into car (id, make, model, price) values (181, 'Porsche', '911', '52496.77');
insert into car (id, make, model, price) values (182, 'Daewoo', 'Leganza', '98466.57');
insert into car (id, make, model, price) values (183, 'Eagle', 'Summit', '75745.52');
